ASL;Consultorio Familiare;Indirizzo;Telefono;Orari;Email/sito
ROMA 2;CONSULTORIO FAMILIARE SILONE D9;VIA IGNAZIO SILONE 100, 00143, ROMA;06 51008322;Lun-Ven 8:30-13:00, Mar e Mer 14:00-17:30;www.aslroma2.it/index.php/servizi-on-line-cittadini
ROMA 2;CONSULTORIO FAMILIARE S. BENEDETTO;via S.Benedetto del tronto 9, 00156, ROMA;06 41436327-6334;Lun-Ven 8:30-13:00, Mar e Gio 14:00-17:30;www.aslroma2.it/index.php/servizi-on-line-cittadini
ROMA 2;CONSULTORIO FAMILIARE TOR CERVARA;via Tor Cervara,307, 00155, ROMA;06 41436236;Lun-Ven 8:30-13:00, Mar e Mer 14:00-17:30;www.aslroma2.it/index.php/servizi-on-line-cittadini
ROMA 2;CONSULTORIO FAMILIARE SETTECAMINI;via Rubellia,2, 00131, ROMA;06 41436090;Lun-Ven 8:30-13:00;www.aslroma2.it/index.php/servizi-on-line-cittadini
ROMA 2;CONSULTORIO FAMILIARE PIETRALATA;Via di Pietralata,497, 00158, ROMA;06 41435408 - 5400;Lun-Ven 8:30-13:00/14:00-17:30;direzione.uoctsdee@aslroma2.it percorso.nascita@aslroma2.it consultorio.donna@aslroma2.it
ROMA 2;CONSULTORIO FAMILIARE  MANFREDONIA;via Manfredonia,43, 00171, ROMA;06 41436459;Lun-Ven 8:30-13:00 Mar e Gio 14:00-17:30;www.aslroma2.it/index.php/servizi-on-line-cittadini
ROMA 2;CONSULTORIO FAMILIARE RESEDE;via Resede Acacie 1, 00171, ROMA;06 41436002-6020;Lun-Ven 8:30-13:00 Mar e Mer 14:00-17:30;www.aslroma2.it/index.php/servizi-on-line-cittadini
ROMA 2;CONSULTORIO FAMILIARE AGUDIO;via T. Agudio,5, 00132, ROMA;06 41436420;Lun-Ven 8:30-13:00 Mer 14:00-17:30;www.aslroma2.it/index.php/servizi-on-line-cittadini
ROMA 2;CONSULTORIO FAMILIARE CANAPIGLIE;via delle Canapiglie,88, 00132, ROMA;06 41436125-6120;Lun-Ven 8:30-13:00 - Lun e Mar 14:00-17:30;www.aslroma2.it/index.php/servizi-on-line-cittadini
ROMA 2;CONSULTORIO FAMILIARE RIZZIERI;via rizzieri,226, 00173, ROMA;06 41434012;Lun-Ven 8:30-13:00 - Lun, Mar e Gio  14:00-17:30;poloostetrico.consultoriale@aslroma2.it
ROMA 2;CONSULTORIO FAMILIARE LEVII;via dei Levii,10, 00174, ROMA;06 41435102;Lun-Ven 8:30-13:00 - Lun e Mer  14:00-17:30;www.aslroma2.it/index.php/servizi-on-line-cittadini
ROMA 2;CONSULTORIO FAMILIARE STAZIONE DI CIAMPINO;via della stazione di ciampino,41, 00118, ROMA;06 932724132;"Lun, Gio, Ven 8:30–13:00; Mar, Mer 8:00-16:30";n/d
ROMA 3;CONSULTORIO FAMILIARE OSTIA;LUNGOMARE P. TOSCANELLI, 230, 00121, ROMA;06 56483024;"lun-ven 08:00-14:00; lun-merc 14:30-17:30";consultorio.ostia@aslroma3.it
ROMA 3;CONSULTORIO FAMILIARE FREGENE;VIA DELLA PINETA DI FREGENE,76, 00054, FIUMICINO;06 56484201;"lun-ven 08:00-14:00; lun-merc 14:30-17:30";consultorio.fregene@aslroma3.it
ROMA 3;CONSULTORIO  FAMILIARE FIUMICINO;VIA GIORGIO GIORGIS, 56, 00054, FIUMICINO;06 56484750;"lun-ven 08:00-14:00; lun-gio 14:30-17:30";consultorio.fiumicino@aslroma3.it
ROMA 3;CONSULTORIO FAMILIARE ACILIA;BORGO G. DA MONTESARCHIO ,76, 00125, ROMA;06 56483200;"lun-ven 08:00-14:00; lun-gio 14:30-17:30";consultorio.acilia@aslroma3.it
ROMA 3;CONSULTORIO FAMILIARE MASSIMINA;VIA S. BELFANTI, 76 A, 00166, ROMA;06 56486642;"lun-ven 08:00-14:00; lun-gio 14:30-17:30";consultorio.massimina@aslroma3.it
ROMA 3;CONSULTORIO FAMILIARE MONTEVERDE;VIA A. COLAUTTI 28/30, 00152, ROMA;06 56486131;"lun-ven 08:00-14:00; lun-mar 14:30-17:30";consultorio.monteverde@aslroma3.it
ROMA 3;CONSULTORIO FAMILIARE BRAVETTA;VIA DELLA CONSOLATA 52, 00164, ROMA;06 56486536;"lun-ven 08:00-14:00; mart-gio 14:30-17:30";consultorio.bravetta@aslroma3.it
ROMA 3;CONSULTORIO FAMILIARE COLLE MASSIMO;LARGO  LUDOVICO QUARONI, N. 4, 00153, ROMA;06 56486688;"lun-ven 08:00-14:00; gio 14:30-17:30";consultorio.massimo@aslroma3.it
ROMA 3;CONSULTORIO FAMILIARE TRULLO;VIA BRUGNATO 2, 00148, ROMA;0656485672;"lun-ven 08:00-14:00; lun-merc 14:30-17:30";consultorio.trullo@aslroma3.it
ROMA 3;CONSULTORIO FAMILIARE MAGLIANA;Via Vaiano, 53, 00147, ROMA;06 56485510;"lun-ven 08:00-14:00; mar-gio 14:30-17:30";consultorio.magliana@aslroma3.it
ROMA 3;CONSULTORIO FAMILIARE CORVIALE;L.GO  E. QUADRELLI, 5, 00148, ROMA;06 56485724;"lun-ven 08:00-14:00; lun-mar 14:30-17:30";consultorio.corviale@aslroma3.it
ROMA 4;CONSULTORIO FAMILIARE CIVITAVECCHIA;Largo Donatori del Sangue, 00053, CIVITAVECCHIA;06 96669994-995- 997-998;"Lun 9:00–14.00; Mar 9:00–17:00; Mer 9:00–17:00; Gio 9:00–14:00; Ven 9:00-13:00";n/d
ROMA 4;CONSULTORIO FAMILIARE S. MARINELLA;VIA VALDAMBRINI, 115, 00058, SANTA MARINELLA;n/d;n/d;n/d
ROMA 4;CONSULTORIO FAMILIARE LADISPOLI;VIA N. BIXIO, 27, 00055, LADISPOLI;06 96669382-383-384;"Lun 9:00–17:00; Mar 9:00–17:00; Mer 9:00–17:00; Gio 9:00–14:30; Ven 9:00-13:30";n/d
ROMA 4;CONSULTORIO FAMILIARE CERVETERI;VIA MARTIRI DELLE FOIBE, 95, 00052, CERVETERI;06 96669231-322-323-324-312;"Lun 9:00–14:00; Mar 9:00–17:00; Mer 9:00–16:30; Gio 9:00–16:30; Ven 9:00-13:00";n/d
ROMA 4;CONSULTORIO FAMILIARE MANZIANA;P.ZZA VITTORIO VENETO, 3, 00066, MANZIANA;n/d;n/d;n/d
ROMA 4;CONSULTORIO FAMILIARE ANGUILLARA;VIA MARCO POLO, SNC, 00061, ANGUILLARA SABAZIA;06 96669771-772-773;"Lun 8:00–17:00; Mar 8:00–13:30; Mer 8:00–17:00; Gio 8:30–13:30; Ven 8:00-13:30";n/d
ROMA 4;CONSULTORIO FAMILIARE BRACCIANO;LARGO DELL'OSPEDALE VECCHIO N.8, 00062, BRACCIANO;06 96669121-123-124;"Lun 8:30–17:00; Mar 8:30–17:30; Mer 8:30–17:30; Gio 8:30–15:00; Ven 8:30-15:00";n/d
ROMA 4;CONSULTORIO FAMILIARE CAMPAGNANO;VIA ADRIANO I°, 23, 00063, CAMPAGNANO DI ROMA;06 96669291-294-239;"Lun 10:00–15:00; Mar 8:30–18:30; Mer 8:30–16:00; Gio 8:30–17:00; Ven 10:00-16:00";n/d
ROMA 4;CONSULTORIO FAMILIARE FORMELLO;VIA REGINA MARGHERITA, snc, 00060, FORMELLO;06 96669337;"Lun 8:30–13:30; Mar 8:30–13:30; Ven 8:30–13:30;";n/d
ROMA 4;CONSULTORIO FAMILIARE FIANO ROMANO;Via Tiberina n.71, 00065, FIANO ROMANO;06 96669110-111-112;"Lun 8:30–14:00; Mar 8:30–17:00; Mer 8:30-14:00; Gio 8:30–17:00 Ven 8:30–14:00;";n/d
ROMA 4;CONSULTORIO FAMILIARE MORLUPO;Via G. Roncacci, n.78, 00067, MORLUPO;06 96669938;"Lun 8:30–15:00; Mar 8:30–15:00; Mer 8:30-17:30; Gio 8:30–17:30 Ven 8:30–15:00";n/d
ROMA 5;DISTRETTO DI MONTEROTONDO CON CONSULTORIO E CSM;VIA DELL'AERONAUTICA, 53/b, 00015, MONTEROTONDO;0774 3165514;"Lun-Ven 8:00–13:00; Gio 8:00–17:00";consultorio.monterotondo@aslroma5.it
ROMA 5;CONSULTORIO FAMILIARE FONTE NUOVA;Via IV Novembre, 2, 00013, FONTE NUOVA;n/d;n/d;n/d
ROMA 5;CONSULTORIO FAMILIARE  SETTEVILLE;Via G. Pascoli, 54, 00012, GUIDONIA MONTECELIO;0774 391375;"Lun-Ven 8:30–13:00; Mar 8:30–19:00";consultorio.setteville@aslroma5.it
ROMA 5;AMBULATORIO DISTRETTO GUIDONIA CON CONSULTORIO E TSMREE;Via dei Castagni, 20/22, 00012, GUIDONIA MONTECELIO;0774 77 91 04;"Lun-Gio 8:00–17:30; Ven 8:30–12:30";consultorio.guidonia@aslroma5.it
ROMA 5;CONSULTORIO PALOMBARA SABINA;Piazza Salvo d'Acquisto, 1, 00018, PALOMBARA SABINA;0774 654 54 20;"Lun-Ven 8:30–13:00; Gio 8:00–18:00";consultorio.palombara@aslroma5.it
ROMA 5;DISTRETTO DI TIVOLI CON CONSULTORIO E TSMREE;PIAZZA MASSIMO, 1, 00019, TIVOLI;0774 704708;"Lun-Ven 8:00–13:00; Mar-Gio 14:00–18:00";consultorio.tivoli@aslroma5.it
ROMA 5;DISTRETTO DI SUBIACO CON CONSULTORIO E SERD;LARGO MAZZINI, 5, 00028, SUBIACO;0774824142/3;"Lun-Ven 8:00–13:00; Mar, Gio 8:00–17:00";consultorio.subiaco@aslroma5.it
ROMA 5;PRESIDIO DI OLEVANO ROMANO CON CONSULTORIO E TSMREE;via di S. Francesco D'Assisi snc, 00025, OLEVANO ROMANO;n/d;n/d;n/d
ROMA 5;DISTRETTO DI PALESTRINA CON CONSULTORIO E TSMREE;PORTA SAN MARTINO 38, 00036, PALESTRINA;06 95322621;"Lun-Ven 8:00–13:00; Mar, Gio 8:00–17:30";consultorio.palestrina@aslroma5.it
ROMA 5;CASA DELLA SALUTE DI ZAGAROLO CON CONSULTORIO;VIA BORGO SAN MARTINO SNC, 00039, ZAGAROLO;06 95322841;"Lun-Ven 8:00–13:00; Mar, Gio 8:00–17:30";consultorio.zagarolo@aslroma5.it
ROMA 5;CONSULTORIO FAMILIARE  COLLEFERRO;Largo Oberdan snc, 00034, COLLEFERRO;06 97206750;"Lun-Ven 8:00–15:00; Lun, Gio 8:00–17:30";consultorio.colleferro@aslroma5.it
ROMA 5;CONSULTORIO CARPINETO;Via Matteotti, 1, 00032, CARPINETO ROMANO;n/d;n/d;n/d
ROMA 5;CONSULTORIO SEGNI;Via Pacinotti, 1, 00037, SEGNI;n/d;n/d;n/d
ROMA 5;PRESIDIO VALMONTONE CON CONSULTORIO;Via Porta Napoletana, 8, 00038, VALMONTONE;0697223629/30;"Lun-Ven 8:00–15:30; Mar 8:00–17:30";consultorio.valmontone@aslroma5.it
ROMA 6;CONSULTORIO FAMILIARE ROCCA PRIORA;VIA MALPASSO D`ACQUA c/o ospedale Cartoni, 00040, ROCCA PRIORA;06/932724131;"Lun, Gio, Ven 8:30–13:00; Mar,Mer 8:00-16:30";n/d
ROMA 6;CONSULTORIO FAMILIARE FRASCATI;VIA MATTEOTTI 59, 00044, FRASCATI;06/932724132;"Lun, Gio, Ven 8:30–13:00; Mar,Mer 8:00-16:30";n/d
ROMA 6;CONSULTORIO FAMILIARE GROTTAFERRATA;V.LE SAN NILO 4, 00046, GROTTAFERRATA;06 932724133;"Lun, Gio, Ven 8:30–13:00; Mar,Mer 8:00-16:30";n/d
ROMA 6;CONSULTORIO  FAMILIARE VELLETRI;VIA SAN BIAGIO 19, 00049, VELLETRI;06 93272433;"Lun, Gio, Ven 8:30–13:00; Mar,Mer 8:00-16:30";n/d
ROMA 6;CONSULTORIO FAMILIARE MARINO;Vle XXIV maggio ,1 c\o osp Marino, 00047, MARINO;06 932724131;"Lun, Gio, Ven 8:30–13:00; Mar, Mer 8:00-16:30";n/d
ROMA 6;CONSULTORIO FAMILIARE CIAMPINO;via m. Calo' 5, 00043, CIAMPINO;06 932724132;"Lun, Gio, Ven 8:30–13:00; Mar, Mer 8:00-16:30";n/d
ROMA 6;CONSULTORIO FAMILIARI POMEZIA;VIA CASTELLI ROMANI 2, 00040, POMEZIA;06 93272433;"Lun, Gio, Ven 8:30–13:00; Mar, Mer 8:00-16:30";n/d
ROMA 6;CONSULTORIO FAMILIARE ARDEA;via dei tassi 18, 00040, ARDEA;06 93272434;"Lun, Gio, Ven 8:00–13:30; Mar, Mer 8:00-16:30";n/d
ROMA 6;CONSULTORIO FAMILIARE ALBANO;VIA GALLERIA DI SOTTO 6, 00041, ALBANO LAZIALE;06 93273352;"Lun, Gio, Ven 8:30–13:00; Mar, Mer 8:00-16:30";n/d
ROMA 6;CONSULTORIO FAMILIARE PAVONA;VIA BOLOGNA, 7  PAVONA(ALBANO), 00040, ALBANO LAZIALE;06 93273352;"Lun, Gio, Ven 8:30–13:00; Mar, Mer 8:00-16:30";n/d
ROMA 6;CONSULTORIO FAMILIARE ARICCIA;VIA ANTONIETTA CHIGI 52, 00040, ARICCIA;06 93273352;"Lun, Gio, Ven 8:30–13:00; Mar, Mer 8:00-16:30";n/d
ROMA 6;CONSULTORIO FAMILIARE LANUVIO;VIA ALDO MORO 8/12, 00040, LANUVIO;06 93273352;"Lun, Gio, Ven 8:30–13:00; Mar, Mer 8:00-16:30";n/d
ROMA 6;CONSULTORIO FAMILIARE GIOVANI GENZANO;VIA UNIONE SOVIETICA 14, 00045, GENZANO DI ROMA;06 93273352;"Lun, Gio, Ven 8:30–13:00; Mar, Mer 8:00-16:30";n/d
ROMA 6;CONSULTORIO FAMILIARE NETTUNO;PIAZZA SAN FRANCESCO( C/O POL BARBERINI), 00048, NETTUNO;06 93272433;"Lun, Gio, Ven 8:30–13:00; Mar, Mer 8:00-16:30";n/d
